Vitess_Vent_[m/s]	 Dir_Vent_[deg]	 Pelec[w]	 Patm[Pa]	 Temp[degC]	 Statut
  16.3	     19	 4379346	 102158	    2.6	      1
  16.1	    303	 4125906	 100530	   14.9	      1
   6.5	    306	 363993	 100737	   -2.4	      1
  19.5	    160	 4250967	 100347	    5.9	      1
  11.3	    126	 1899306	 102261	    2.1	      1
  14.3	      3	 3811970	 101769	    1.3	      1
   5.8	    163	 258804	 101507	    1.7	      1
   8.6	     94	 805961	 100462	    1.7	      1
  20.4	    267	 4313245	 101250	    4.3	      1
   8.1	    119	 694180	 101373	   -4.7	      1
   9.0	    171	 897346	 100878	   10.2	      1
   4.7	     69	 130034	 102014	   11.6	      1
  16.4	    164	 4171239	 100779	   12.4	      1
   3.2	    177	      0	 100539	    8.6	      1
  14.2	    147	 3698199	 101799	    4.2	      1
  16.7	    162	 4324910	 100422	    1.3	      1
  19.9	    180	 4351703	 101170	    1.6	      1
  19.9	    336	 4179194	 100674	   11.6	      1
   4.5	      2	 112711	 101064	    9.7	      1
  17.6	    225	 4363586	 101819	    2.7	      1
  18.9	    151	 4287740	 101429	    6.5	      1
   3.0	    313	      0	 101724	   -3.2	      1
   8.6	    282	 770286	 100692	   14.0	      1
   7.1	     27	 478515	 101866	   -0.8	      1
  20.8	     48	 4318383	 100617	    2.3	      1
  16.1	    322	 4401831	 101897	    0.5	      1
  12.4	    146	 2477784	 101372	    1.6	      1
  13.2	     47	 2903069	 101274	    9.9	      1
   9.9	    138	 1217159	 102106	    9.7	      1
   4.1	     13	  89919	 102173	    9.8	      1
  14.1	     61	 3542410	 101323	    8.5	      1
   5.1	     31	 165683	 101117	    2.4	      1
   1.9	     40	      0	 101368	    3.6	      1
  12.1	    183	 2290240	 100728	    1.8	      1
   7.8	    356	 603158	 101969	    7.9	      1
   7.1	    183	 440067	 101933	   13.6	      1
  17.1	     60	 4319806	 101589	    4.8	      1
   3.5	    352	      0	 101798	   11.4	      1
   3.3	    295	      0	 101039	    3.4	      1
   4.6	    285	 129443	 101953	    2.6	      1
  13.1	     23	 2877490	 101464	    7.4	      1
  21.1	     92	 4447733	 101242	   -4.1	      1
   6.5	    184	 356596	 100879	    3.6	      1
   3.3	     27	      0	 102101	   14.6	      1
  11.2	     28	 1775998	 100947	    8.8	      1
  11.8	      2	 2166283	 100907	   -3.0	      1
   7.1	     97	 461286	 100434	    4.6	      1
   8.4	    322	 726296	 100899	   12.7	      1
  10.5	    154	 1469630	 101906	    8.6	      0
  12.5	    165	 2528440	 101393	   -1.4	      1
   7.3	      7	 504364	 100372	    3.2	      1
   8.9	    133	 913234	 101936	    0.9	      1
  11.5	    191	 1941564	 101688	    8.5	      1
   3.6	     14	      0	 101612	    2.9	      1
   8.1	    174	 669383	 101197	    4.1	      1
  11.9	    132	 2113164	 101866	   14.4	      1
  13.4	    114	 3076069	 100466	    3.2	      1
   7.9	    358	 637330	 102203	    1.7	      1
   7.6	    318	 553654	 100569	    0.7	      1
   2.8	    175	      0	 101012	   -4.5	      1
  10.2	    189	 1339389	 102153	    9.6	      1
  10.1	    319	 1342231	 101966	    2.6	      1
   8.9	    238	 917436	 100505	    1.0	      1
  11.7	    150	 2000556	 101222	   11.5	      1
   9.2	     31	 958536	 101349	   12.5	      1
   7.6	    311	 564074	 101682	    1.4	      1
   8.1	      9	 717517	 102160	   -4.2	      1
  12.1	    150	 2301137	 100916	   -4.2	      1
  24.2	    169	 4219188	 100890	    9.5	      1
   6.3	    176	 315866	 101447	   10.4	      1
   5.0	     98	 164521	 101721	   -0.2	      1
   8.0	    144	 688079	 101655	   -3.7	      1
   8.0	      3	 666739	 100939	    0.0	      1
  22.8	    283	 4194764	 101262	   12.2	      1
  10.5	     32	 1481749	 100989	    1.5	      1
   6.0	     44	 284491	 101474	   -1.1	      1
  11.3	    135	 1887436	 101341	    1.7	      1
  18.9	      7	 4198232	 100817	   10.7	      1
   9.9	    113	 1217367	 100647	    5.5	      1
   2.3	    194	      0	 102142	   12.7	      1
  11.1	    349	 1718475	 101352	    7.4	      1
  11.1	    350	 1706451	 100809	    6.2	      1
   9.8	     98	 1166188	 100689	   11.6	      1
   4.5	     29	 120291	 100532	   -4.1	      1
   3.0	    135	      0	 100612	    5.0	      1
  10.2	     55	 1355282	 100906	    5.7	      1
   5.3	     40	 192091	 101345	   -1.4	      1
   2.7	    108	      0	 100941	    6.9	      1
  13.5	    354	 3085095	 102002	    9.6	      1
   6.1	     29	 291536	 101355	    1.7	      1
   5.2	    120	 186638	 101721	   -3.9	      1
   6.2	      2	 293813	 100907	   14.2	      1
  13.8	    314	 3328188	 101996	   10.9	      1
  14.1	    336	 3519902	 101360	    9.6	      1
  19.8	     13	 4327851	 102211	    6.0	      1
  17.2	    106	 4355408	 100941	    0.8	      1
   5.3	     36	 191341	 100368	   -0.5	      1
  10.2	    307	 1339231	 101289	    4.6	      1
   4.2	     40	  92786	 101010	    8.3	      1
   6.8	     68	 400566	 101946	    8.0	      1
   8.8	     67	 882292	 100427	   -3.6	      1
   6.2	    321	 307552	 101519	   -3.5	      1
  14.0	    229	 3476278	 102180	    9.1	      1
   8.8	    303	 864442	 101183	    6.4	      1
   3.3	    172	      0	 100714	    3.5	      1
  11.7	    324	 2089829	 101054	   -0.0	      1
   2.2	    254	      0	 102190	   -4.9	      1
   2.5	    260	      0	 100890	    6.9	      1
  19.6	    162	 4409985	 101391	   -1.4	      1
   4.3	    298	 102147	 101290	    8.7	      1
   6.7	      3	 388702	 102213	    8.2	      1
   6.2	     25	 317522	 101312	   -3.5	      1
   5.0	    295	 154509	 100973	   14.5	      1
   6.6	     94	 352812	 101291	   12.8	      1
   3.0	    264	      0	 101370	    3.6	      1
   6.3	     14	 325189	 101553	    6.3	      1
  12.2	    151	 2273035	 100697	    9.4	      1
   4.7	    100	 133420	 101366	   -4.1	      1
   7.6	     94	 554106	 100716	   11.2	      1
   3.4	     87	      0	 101799	    8.1	      1
   2.9	    173	      0	 100415	    6.5	      1
   2.7	    155	      0	 101003	   -1.5	      1
   9.2	    168	 1032976	 100917	   -4.6	      1
   4.5	     84	 121005	 102287	    0.9	      1
   3.8	    110	      0	 101686	    0.3	      1
   6.8	     66	 406648	 100396	   -3.9	      1
   4.0	     38	      0	 100958	    3.2	      1
   8.4	    166	 734687	 100603	   13.9	      1
   7.5	    114	 529388	 101855	   10.8	      1
   5.8	    287	 259735	 101363	   -1.3	      1
  26.6	    242	      0	 101550	    4.7	      1
   9.8	    199	 1185952	 101029	    9.0	      1
   9.1	    178	 932373	 100860	    9.0	      1
   3.0	    193	      0	 102151	    1.3	      1
   6.0	    104	 285555	 101195	   -2.7	      1
  12.9	    124	 2798331	 100524	   -2.6	      1
   3.2	    216	      0	 100461	   -4.0	      1
   9.4	    109	 1051082	 101782	    5.7	      1
   3.3	    212	      0	 101094	   -2.5	      1
  14.9	    265	 4338040	 100347	   -3.1	      1
   9.6	     41	 1122017	 100527	    3.2	      1
   5.8	    124	 260092	 101753	   -3.4	      1
   6.8	     86	 403157	 100427	   -4.2	      1
   4.6	    118	 123383	 100699	    3.8	      1
  10.5	     50	 1506285	 101254	    1.5	      1
   8.8	    138	 879859	 101178	    0.7	      1
   6.6	    201	 374000	 100598	    1.3	      1
   4.0	     76	  81425	 102128	   11.9	      1
   9.1	     92	 942998	 101115	   13.9	      1
  13.6	     70	 3225907	 100536	    2.7	      1
  20.2	    103	 4288288	 100483	    3.8	      1
   9.8	    303	 1155238	 100852	   14.3	      1
  13.3	    325	 2914103	 100619	   12.3	      1
  14.8	    167	 4277064	 100997	   -3.8	      1
   7.6	      8	 560311	 102041	    7.8	      0
  11.6	     85	 2082642	 102026	   -4.7	      1
   4.9	     44	 155922	 101093	   -2.8	      1
  11.9	    109	 2199283	 101744	    0.7	      1
   9.8	    211	 1188998	 101176	   10.3	      1
  13.4	    201	 3055354	 101177	    3.9	      1
   2.6	     43	      0	 101695	   -2.3	      1
  14.1	    107	 3670601	 101502	   -4.5	      1
  17.1	     89	 4202304	 100329	    9.0	      1
   5.9	    337	 269613	 101800	    1.7	      1
   0.4	    148	      0	 100703	   11.9	      1
   8.6	    173	 789103	 100357	   12.7	      1
   2.4	    229	      0	 101336	   14.0	      1
  14.3	    110	 3680891	 102283	   13.2	      1
   3.9	     41	      0	 101290	   -4.0	      1
  12.3	    254	 2466268	 101935	   -2.3	      1
   9.1	    104	 1006065	 101860	   -4.5	      1
  12.5	    155	 2407706	 100514	    9.6	      1
   2.2	    300	      0	 101887	    3.2	      1
  22.3	    292	 4267695	 101476	    7.9	      1
  12.0	    245	 2194532	 101303	    4.3	      1
   8.2	    322	 678374	 102255	   13.1	      1
   5.4	     72	 199493	 100955	    9.1	      1
   4.1	     64	  91189	 102182	   -2.1	      1
   7.5	     17	 524327	 101715	    8.2	      1
   3.9	    195	      0	 100695	    8.7	      1
  22.0	    197	 4176001	 100816	   12.2	      1
  24.0	    157	 4399835	 102037	    1.0	      1
  12.4	    117	 2477966	 101147	   -0.3	      1
   6.4	    186	 328276	 101607	    9.5	      1
   2.3	     46	      0	 101392	    5.9	      1
   3.0	     64	      0	 101255	    6.5	      1
   7.6	     24	 582363	 101404	   -0.5	      1
   9.2	     63	 980861	 100972	    7.3	      1
  10.9	    176	 1605958	 101567	   10.1	      1
   2.5	      4	      0	 101112	   -1.7	      1
   5.3	    149	 189454	 102299	    2.1	      1
  11.2	    201	 1792273	 102168	    5.7	      1
  15.0	    134	 4294619	 101533	    6.3	      1
   5.3	    274	 192219	 101078	    2.1	      1
   1.0	    302	      0	 100833	   -1.3	      1
   2.8	    355	      0	 101763	   -2.3	      1
  12.7	    328	 2630002	 101145	    3.9	      1
   4.9	    221	 145929	 101304	   10.0	      1
   1.1	    330	      0	 100691	    1.8	      1
   7.0	    176	 437960	 101677	   10.5	      1
   2.7	     98	      0	 101224	    3.3	      1
   6.8	     95	 390162	 100661	   11.8	      1
  11.9	    149	 2130091	 101918	    8.8	      1
   3.2	      6	      0	 101836	   14.6	      1
  17.4	     85	 4306183	 101787	    6.2	      1
  11.7	     75	 1992863	 100558	    7.0	      1
   2.8	    152	      0	 101987	   -2.0	      1
  11.4	     63	 1829133	 100422	   13.8	      1
   8.9	     52	 894810	 100915	    3.7	      1
  12.2	     98	 2359952	 102209	    0.5	      1
   6.2	    305	 299325	 101732	    8.1	      1
   9.1	     94	 951939	 101502	   12.7	      1
   6.6	    200	 365647	 101204	    4.1	      1
  14.6	     25	 4042677	 101502	   -0.8	      1
   2.9	    108	      0	 100737	   12.9	      1
   8.9	    293	 918397	 100395	    1.0	      1
   6.3	    283	 304776	 100972	   11.5	      1
   3.8	    137	      0	 102003	   -0.6	      1
   7.4	    123	 503678	 101893	    8.4	      1
  13.8	     41	 3403169	 102162	    3.3	      1
  12.0	    357	 2286044	 101609	   -4.3	      1
  16.9	    116	 4342725	 101792	    3.9	      1
   6.1	    188	 281303	 100995	    8.3	      1
  14.1	     35	 3586360	 101398	    4.2	      1
   8.6	    187	 855640	 101968	   -4.6	      1
   4.9	    215	 147781	 101083	   12.6	      1
  14.3	    171	 3698318	 101841	   10.7	      1
  11.5	     88	 1979921	 100661	   -4.0	      1
   7.0	    355	 425919	 101461	   12.2	      1
   8.1	    149	 660455	 100897	   12.0	      1
   6.7	     52	 367988	 101507	   12.3	      1
   4.9	    115	 142759	 100730	    9.1	      0
   6.1	    117	 281034	 101474	    9.3	      1
   4.5	    114	 112068	 100680	    5.3	      1
  13.9	    168	 3415684	 102164	    9.5	      1
   1.7	    261	      0	 100803	    8.7	      1
   5.0	    338	 160484	 101262	    3.7	      1
   2.4	    199	      0	 101146	   13.9	      1
   5.3	     53	 187728	 102222	   14.3	      1
  18.4	    161	 4269349	 100795	    5.9	      1
   7.7	    195	 598744	 102239	    0.5	      1
   4.5	    287	 112162	 100952	    8.2	      1
  11.3	    355	 1810521	 101302	    9.6	      1
  15.1	    311	 4439154	 101303	   -3.4	      1
   7.3	    317	 481383	 100609	    8.2	      1
   2.1	    192	      0	 101536	   -1.1	      1
   8.4	    123	 772175	 101112	    1.4	      1
  11.2	      8	 1722312	 101370	   14.2	      1
   5.0	    343	 158857	 101207	    1.1	      1
  14.3	    269	 3599173	 100587	   13.2	      1
   3.5	    318	      0	 101276	    8.4	      1
   9.2	     74	 985490	 100530	    1.6	      1
  16.0	      9	 4217796	 101651	   11.7	      1
   4.2	     53	  99212	 101907	   -1.7	      1
  11.8	    316	 2077193	 100497	    5.4	      1
   2.9	    104	      0	 101750	   -2.0	      1
   4.2	    181	  92675	 101558	    9.4	      1
  21.2	    201	 4399658	 101941	    0.7	      1
   6.4	    212	 330743	 101014	   13.5	      1
   6.6	    266	 348698	 101452	   15.0	      1
   8.5	    210	 803122	 101588	    0.5	      1
   5.0	    145	 153523	 101053	    9.2	      1
  16.9	     25	 4191796	 101253	   12.4	      1
   7.5	    204	 544413	 102070	   -0.0	      1
   7.5	     27	 550670	 101903	   -4.3	      1
   6.3	    336	 315162	 102047	   14.0	      1
   3.7	    107	      0	 100529	   12.3	      1
   5.4	    183	 190427	 100626	   11.4	      1
   8.3	    100	 741820	 102201	    4.0	      1
   9.4	    208	 1020100	 100565	   14.7	      1
