Vitess_Vent_[m/s]	 Dir_Vent_[deg]	 Pelec[w]	 Patm[Pa]	 Temp[degC]	 Statut
   8.3	    355	 489403	 101721	    8.6	      1
   9.0	     80	 623107	 101940	    3.1	      1
   5.7	     80	 159313	 101434	    7.5	      1
   8.3	    323	 465088	 101075	   12.2	      1
  10.1	     11	 883250	 100553	    2.5	      1
  22.4	    149	 2411201	 101721	   -2.9	      1
  14.6	    149	 2283512	 100813	    9.7	      1
  16.6	     95	 2321864	 101151	    6.0	      1
   9.8	    149	 796436	 100959	    3.4	      1
   2.0	    158	      0	 100304	    2.3	      0
   7.0	    198	 291288	 102239	   12.9	      1
  10.6	    132	 970685	 100734	   13.2	      1
   5.9	    225	 172428	 101761	   12.1	      1
  13.7	    249	 2208301	 100376	   -0.5	      1
  11.3	    132	 1203557	 101424	   13.3	      1
   3.9	    288	      0	 100388	    8.2	      1
  19.4	    301	 2417209	 101270	   -4.7	      1
  10.2	     21	 909822	 102052	    5.9	      1
   6.2	     19	 207347	 101551	    4.3	      1
   4.5	    311	      0	 101324	   -3.3	      1
  13.6	    194	 2088286	 101960	   11.7	      1
  17.0	    237	 2342193	 100396	    1.5	      1
  14.8	     30	 2404163	 101594	   -2.4	      1
  15.5	     44	 2392122	 100381	   -4.3	      1
   1.4	     93	      0	 102188	    9.6	      1
   4.3	    191	      0	 100821	   14.1	      1
   2.4	     16	      0	 100304	   -0.4	      1
   3.9	    196	      0	 101260	   -2.7	      1
   7.4	      3	 339953	 101406	    6.1	      1
   4.9	     44	      0	 101933	    1.4	      1
  11.7	    154	 1326143	 100936	    8.6	      1
  13.6	    212	 2107603	 100564	    7.8	      1
   9.2	     80	 636347	 101074	   12.3	      1
   9.2	    119	 674620	 101717	    3.1	      1
   7.5	     11	 358925	 100823	    8.8	      1
   2.1	    141	      0	 100498	    3.3	      1
  11.9	    135	 1444391	 100767	    0.1	      1
   1.7	    341	      0	 100834	   12.6	      1
  19.0	    255	 2247622	 100832	   14.3	      1
  15.2	    144	 2306790	 102137	   10.5	      1
  10.0	     23	 840931	 101701	    8.6	      1
  15.1	    339	 2336399	 101016	    3.9	      1
   3.1	     26	      0	 101175	   10.6	      1
   9.1	     35	 616640	 100533	   14.6	      1
   8.8	     53	 574738	 100488	    3.3	      1
   6.1	    323	 193140	 101588	    4.9	      1
   7.3	    121	 345681	 101461	   -2.9	      1
   6.9	    241	 278739	 101958	   12.5	      1
  10.6	    327	 1031431	 101167	   -3.0	      0
  15.7	    334	 2247537	 100937	   14.6	      1
  21.1	    122	 2367963	 100469	   -1.3	      1
   7.9	    242	 420638	 100990	    5.0	      1
  13.4	      4	 1989954	 100633	   11.5	      1
   7.5	    313	 364918	 101957	    3.8	      1
  17.8	    112	 2252033	 100729	   13.4	      1
   1.0	     10	      0	 102207	    4.1	      1
   3.4	    131	      0	 101803	   13.7	      1
   9.1	    302	 638343	 100890	    9.5	      1
  12.2	    340	 1578958	 101896	   -2.0	      1
   6.3	    201	 221035	 101298	   -2.2	      1
   5.1	    209	 113330	 101109	    5.6	      1
   5.5	     37	 147198	 101272	   -2.3	      1
   9.6	     33	 729797	 100587	   12.6	      1
   4.4	    236	      0	 100366	    5.7	      1
  11.1	    191	 1179560	 100570	    1.4	      1
  10.9	    330	 1128535	 102110	   -0.8	      1
  14.2	    350	 2432490	 102146	   -4.1	      1
   9.0	    137	 643985	 101431	   -1.4	      1
   4.5	    303	      0	 101427	    5.6	      1
   7.0	     64	 284495	 101671	    8.3	      1
  10.2	    126	 921228	 101797	   -2.8	      1
   5.2	    252	 119305	 101090	   -1.8	      1
  11.5	    165	 1305540	 100468	    2.2	      1
   1.0	    103	      0	 101105	   -3.8	      1
   9.5	    358	 700591	 101238	   13.8	      1
   3.1	     84	      0	 102292	    3.8	      1
   5.5	    171	 141016	 101034	    0.8	      1
   6.5	    334	 230723	 102097	    4.7	      1
  12.1	    304	 1479999	 100698	   10.1	      1
  11.7	     69	 1331225	 101870	   12.4	      1
  11.1	    212	 1169982	 101854	    2.4	      1
   9.2	    215	 664792	 101016	    2.9	      1
   4.6	    169	      0	 100429	   11.7	      1
   2.0	    333	      0	 100826	    7.7	      1
   5.1	      4	 112912	 101359	   -2.4	      1
  12.0	    348	 1501916	 101571	   -1.3	      1
   8.0	     92	 432464	 100770	    5.9	      1
   3.4	    124	      0	 100468	    5.4	      1
  10.5	     78	 980948	 102101	   11.2	      1
   4.3	     85	      0	 102255	   -4.4	      1
   7.5	     40	 346173	 100971	   12.6	      1
   4.2	    354	      0	 100332	    2.8	      1
   7.5	     11	 354041	 101094	    4.6	      1
  12.8	    183	 1734406	 101067	   10.7	      1
   6.9	     24	 274151	 101087	   11.3	      1
   3.5	    110	      0	 101636	   -2.7	      1
   8.3	    192	 505076	 100400	   -4.3	      1
  10.2	    189	 942084	 101865	   -4.0	      1
   2.2	    259	      0	 101512	    4.2	      1
  11.6	     23	 1361841	 101916	   -2.7	      1
  12.6	    162	 1747156	 101940	    0.1	      1
   8.4	    346	 512138	 100814	    2.4	      1
  12.2	     43	 1552637	 101604	    7.5	      1
   2.2	    310	      0	 100823	    2.5	      1
   8.2	     33	 469402	 100318	   -2.5	      1
   9.8	    106	 778839	 100503	    6.5	      1
   4.6	    211	      0	 101886	    0.2	      1
  14.5	    345	 2243909	 100798	   14.6	      1
  12.4	    199	 1590655	 100780	   12.0	      1
   6.8	    164	 266373	 101970	    3.3	      1
   9.9	     88	 809822	 100612	   11.0	      1
   4.1	    159	      0	 100699	   10.7	      1
   2.3	     94	      0	 102044	   14.2	      1
   7.3	    302	 311730	 100702	   14.8	      1
   0.3	    307	      0	 100320	   -3.5	      1
   8.6	     78	 555175	 102278	    1.1	      1
   4.4	    335	      0	 101320	    6.1	      1
  10.0	      2	 821846	 100947	   12.7	      1
  24.0	    189	 2347247	 102066	    5.4	      1
  10.9	     92	 1095358	 100361	    5.0	      1
   5.8	    196	 165426	 102179	    3.6	      1
  16.7	    339	 2321552	 100715	    4.8	      1
  12.5	    138	 1615668	 101323	   14.1	      1
   1.2	    124	      0	 101220	   -3.3	      1
   9.6	     25	 759020	 101358	    1.5	      1
  13.5	    295	 2082885	 101969	    6.4	      1
   1.2	    331	      0	 102241	   12.5	      1
  14.2	    343	 2277692	 100321	    9.0	      1
  15.6	    163	 2270941	 101332	   12.7	      1
   3.6	    299	      0	 102285	    9.0	      1
   7.7	    113	 400522	 101178	   -3.9	      1
   5.3	    295	 136089	 102125	   -5.0	      1
   9.1	      3	 666750	 101494	   -1.1	      1
  22.0	    304	 2428855	 101810	   -4.6	      1
   5.8	    163	 163526	 101264	    5.9	      1
  13.2	    219	 1881038	 100886	   12.7	      1
   3.4	    195	      0	 101134	    2.4	      1
  21.0	    180	 2292495	 101167	    9.6	      1
   6.0	    103	 182039	 101912	    8.8	      1
  10.4	     13	 918775	 100742	   13.0	      1
   1.1	    194	      0	 100966	    2.3	      1
   6.7	    170	 253374	 101679	   11.5	      1
  10.2	    123	 891397	 101886	   13.8	      1
   7.4	    108	 342560	 101912	    2.7	      1
  11.8	    198	 1391479	 100611	    1.7	      1
  12.4	    318	 1577213	 100348	   12.1	      1
  14.6	    157	 2342441	 102093	    6.1	      1
   5.9	    226	 167874	 100716	   11.1	      1
  14.5	     83	 2312291	 101117	    7.0	      1
   3.5	    121	      0	 101691	   13.0	      1
   6.8	     58	 263124	 101844	   14.4	      1
   9.8	     78	 780315	 100924	   11.4	      1
   2.3	      8	      0	 101818	    5.0	      1
   4.9	    136	      0	 100588	   12.8	      1
  15.6	     78	 2288763	 101405	   10.7	      1
   4.4	    322	      0	 100517	    2.7	      1
   4.7	    205	      0	 101942	   -2.3	      1
   9.7	    113	 797910	 101239	   -4.9	      1
  12.3	    337	 1554897	 101090	   12.7	      1
   7.7	    335	 378039	 101133	   14.2	      1
   3.2	     94	      0	 100773	    9.9	      1
  11.4	    359	 1231376	 101584	   11.9	      1
   7.3	     42	 326078	 101351	    7.9	      1
   3.7	    160	      0	 101759	    6.5	      1
   0.9	    164	      0	 102263	    0.7	      1
  11.1	    333	 1123041	 100541	   12.9	      1
  10.8	    116	 1034926	 101835	   12.6	      1
   3.3	     52	      0	 101038	    4.9	      1
   6.8	      7	 281377	 101900	   -2.3	      1
   6.2	    132	 203605	 100705	   -0.3	      1
   6.0	    140	 180274	 101587	    7.4	      1
   2.3	     46	      0	 101734	   10.6	      1
  12.4	    350	 1703775	 102274	   -4.8	      1
  10.9	    298	 1064952	 100360	    8.7	      1
  17.8	    111	 2353046	 101569	    3.4	      1
   5.4	     24	 134385	 101573	    2.3	      1
  16.0	     14	 2291647	 101308	   10.1	      1
   8.3	    153	 500652	 101809	    3.0	      1
  19.0	    302	 2308045	 100798	    6.6	      1
  21.5	    312	 2391418	 100321	   -4.4	      1
   7.3	    211	 334602	 102076	    4.6	      1
  18.9	     38	 2344302	 101804	    5.1	      1
   5.6	    145	 147669	 100915	   13.8	      1
  16.5	     99	 2324250	 101808	    7.5	      1
   6.0	     80	 186764	 100990	    0.3	      1
   7.6	     90	 365455	 100497	    9.1	      1
   6.8	    200	 271746	 101849	   -0.7	      1
   3.9	    347	      0	 100962	    0.2	      1
  16.9	    156	 2370808	 102169	    2.9	      1
  17.5	    127	 2312504	 101219	    7.3	      1
  18.2	     39	 2379031	 100697	   -2.0	      1
  20.6	    266	 2337457	 101998	    6.4	      1
  13.9	     83	 2370673	 101931	   -4.6	      1
   8.5	    112	 540626	 101310	   -1.9	      1
   6.0	    214	 190781	 101575	   -1.8	      1
   4.1	     74	      0	 100650	    5.8	      1
   3.4	     25	      0	 101240	   13.7	      0
   5.4	     30	 130792	 100473	    1.8	      1
   8.4	    312	 491251	 101727	    9.9	      1
  23.1	    192	 2328500	 101081	    5.0	      1
  20.6	    124	 2275958	 102141	   14.4	      1
   6.0	    183	 177937	 100558	    7.5	      1
   9.2	    323	 692908	 101046	   -3.7	      1
   6.0	    306	 184376	 100586	    0.6	      1
  11.6	    352	 1283036	 100978	   13.7	      1
  18.7	    162	 2271431	 100334	    9.8	      1
  12.7	    144	 1763473	 101120	   -1.1	      1
  20.2	    114	 2348395	 100531	    1.1	      1
   9.9	     33	 800572	 100828	   14.6	      1
   7.0	    179	 303116	 101517	   -0.9	      1
   5.4	      1	 128991	 100376	    7.3	      1
  11.0	     17	 1108047	 100685	    8.9	      1
   3.3	    300	      0	 100834	    5.1	      1
  13.8	    185	 2216665	 101532	    6.4	      1
   6.8	     74	 264384	 102050	   11.7	      1
  12.0	    349	 1467757	 101945	    4.6	      1
   5.0	    244	      0	 101617	   14.0	      1
  15.0	    336	 2354303	 100776	    1.1	      1
   4.0	     39	      0	 101004	   14.9	      1
  11.6	    239	 1318291	 100320	    1.7	      1
   4.9	    240	      0	 101960	    2.9	      1
   0.3	    167	      0	 101241	    7.4	      1
  11.1	     95	 1148698	 100493	    7.7	      1
  10.1	    230	 906259	 101297	   -4.6	      1
   7.5	    141	 353448	 100329	    5.9	      1
   6.7	    117	 246835	 100692	    8.1	      1
   9.8	    129	 777513	 100862	   10.0	      1
   7.0	     17	 286503	 100568	    5.9	      1
   7.6	    270	 377010	 100356	    4.4	      0
   3.3	     66	      0	 100972	    5.7	      1
  18.9	    196	 2407340	 101154	   -3.9	      1
   9.3	    128	 700266	 101546	   -2.8	      1
   8.6	      9	 546638	 101372	    0.2	      1
  12.9	     38	 1772198	 101026	   13.9	      1
   0.6	    302	      0	 101983	   11.9	      1
   2.4	    225	      0	 101023	   -0.7	      1
  12.4	     41	 1649279	 100360	   -5.0	      1
