Vitess_Vent_[m/s]	 Dir_Vent_[deg]	 Pelec[w]	 Patm[Pa]	 Temp[degC]	 Statut
  18.1	    164	 560816	 101760	    0.0	      1
   2.2	     50	      0	 101264	    6.2	      1
   2.1	    141	      0	 101043	   -0.7	      1
   9.3	    109	  87153	 100410	   13.9	      1
   3.1	    187	   3177	 101517	   10.6	      1
   6.3	     95	  28142	 101399	    8.4	      1
  15.1	    203	 393394	 101474	    1.5	      1
   7.4	    162	  44765	 100422	    1.4	      1
  10.9	    323	 139852	 101513	   13.0	      1
  12.5	     71	 219563	 102216	    7.5	      1
   6.9	     29	  37182	 101181	   -2.2	      1
   5.4	      7	  18132	 101397	   -2.0	      1
   7.9	    117	  54376	 101109	   12.9	      1
  13.1	      4	 246702	 101566	    7.6	      1
   8.8	     49	  74926	 100959	    9.8	      1
  14.0	    233	 303249	 101306	    9.4	      1
   4.0	      6	   6991	 102201	    3.8	      1
   2.6	    331	      0	 102248	   -3.3	      1
   5.5	     90	  17644	 100715	   10.2	      1
  10.7	    135	 135158	 101445	   11.4	      1
   1.4	     94	      0	 101409	   -4.7	      1
   3.9	    316	   6625	 100688	   -4.5	      1
  10.5	     77	 133686	 101686	   -2.8	      1
   5.5	    348	  18815	 101346	    4.8	      1
   6.7	     25	  32282	 100981	   12.2	      1
  11.2	     23	 157110	 100718	    0.2	      1
  13.5	     70	 281059	 100552	   -1.2	      1
  11.0	    141	 148838	 101205	    0.6	      1
   8.5	    193	  69555	 101843	   -0.9	      1
  16.8	    141	 518418	 100722	    8.8	      1
   7.0	    115	  38744	 100594	   -2.6	      1
   3.8	     88	   6174	 102028	   -4.5	      1
   8.9	    223	  76760	 100555	    5.7	      1
   7.4	    157	  45109	 101576	   11.3	      1
  25.4	    108	      0	 101752	   -3.7	      1
   2.1	    124	      0	 101043	    0.7	      1
   7.0	    163	  37495	 100694	    7.6	      1
  11.0	    358	 149674	 100721	    4.2	      1
   5.5	    350	  19252	 100714	    0.4	      1
  12.0	    345	 199451	 101961	   -2.7	      1
   5.0	    204	  13922	 101658	   12.6	      1
   1.4	    273	      0	 100356	    2.0	      1
   3.9	      4	   6374	 102175	    7.3	      1
   4.3	    137	   8839	 100445	    7.0	      1
   8.8	    246	  77706	 101577	   -2.8	      1
  19.6	      1	 552787	 101267	    2.7	      1
   4.7	     94	  12289	 101639	   -2.7	      1
   1.2	     59	      0	 101329	   12.8	      1
  15.5	    297	 415894	 100797	    0.9	      1
  11.6	    141	 169131	 101719	   14.2	      1
  22.7	    329	 542115	 101985	   10.1	      1
