Vitess_Vent_[m/s]	 Dir_Vent_[deg]	 Pelec[w]	 Patm[Pa]	 Temp[degC]	 Statut
   6.9	    171	 628603	 102021	    1.2	      1
   4.4	     84	 157342	 101293	   10.6	      1
   3.3	    137	      0	 101892	    8.6	      1
   6.3	    159	 451401	 102032	   15.0	      1
   5.2	    302	 279063	 101440	   -2.0	      1
   8.0	    278	 942442	 101399	    7.5	      1
   8.4	    189	 1089397	 102193	    9.7	      1
   5.0	    335	 230499	 100314	    3.5	      1
   3.8	    232	      0	 102185	   10.0	      1
  15.2	    221	 6534292	 100947	   -3.5	      1
   8.9	    102	 1350526	 101182	    3.9	      1
  13.4	      1	 4603674	 100963	   -0.8	      1
   4.9	     43	 222580	 100955	   -2.0	      1
   9.5	    123	 1598589	 101491	   10.9	      1
   4.9	    299	 221505	 102216	   14.2	      1
  11.4	    153	 2731396	 101455	   10.0	      1
  14.4	    137	 5743193	 102216	    2.8	      1
   4.9	    293	 210763	 101683	   13.4	      1
   7.1	    229	 648496	 100356	   10.6	      1
   1.9	    181	      0	 101645	   -2.4	      1
   6.0	     38	 396634	 102039	   10.6	      1
   9.9	     58	 1824983	 100791	    0.4	      1
   9.8	    108	 1771069	 101056	    6.6	      1
   4.4	     37	 157919	 101044	   13.7	      1
   6.6	    204	 539650	 101750	    3.8	      1
   6.0	    155	 420186	 100360	    0.3	      1
   0.8	    315	      0	 101917	   12.2	      1
  17.2	    154	 6409329	 100667	    1.0	      1
   4.0	      8	      0	 101355	    4.5	      1
  12.4	    231	 3744610	 101913	   -4.7	      1
   6.6	     32	 545508	 101467	    8.7	      1
   4.8	    246	 207952	 100508	    4.8	      1
  11.4	    108	 2723856	 101480	   14.7	      1
   3.4	    195	      0	 102210	   -3.3	      1
   9.8	    312	 1797820	 100896	   -3.6	      1
   3.9	    154	      0	 101040	   -2.8	      1
   1.3	    170	      0	 101877	    3.6	      1
  17.4	    174	 6265399	 101336	    9.1	      1
  15.4	    158	 6280406	 101708	    9.5	      1
  12.9	    199	 3983926	 100837	    5.1	      1
  17.7	     79	 6296481	 100801	    6.3	      1
  10.3	    209	 2150233	 102109	   -1.4	      1
  10.0	     32	 1835627	 102007	   11.1	      1
  17.6	     65	 6462778	 101629	    1.3	      1
  11.2	    197	 2707710	 101528	    0.1	      1
  16.6	     20	 6200050	 100674	   10.2	      1
   7.5	    229	 817447	 101752	   -4.5	      1
   1.2	    287	      0	 100630	   12.5	      1
