Vitess_Vent_[m/s]	 Dir_Vent_[deg]	 Pelec[w]	 Patm[Pa]	 Temp[degC]	 Statut
   8.0	     21	 395850	 101967	    1.1	      0
   4.9	    126	  89179	 101623	    6.6	      1
   0.7	    319	      0	 101229	   13.8	      1
   6.6	    151	 216362	 100986	   10.7	      1
  13.1	    294	 1672351	 100658	    5.0	      1
   3.3	    212	      0	 102174	    7.6	      1
   5.6	     11	 132370	 101146	   -1.9	      1
   3.6	    141	      0	 101662	    8.9	      1
   9.3	    340	 628412	 101511	    0.3	      1
  11.4	    335	 1103997	 100781	   10.9	      1
   7.6	     29	 331678	 100906	    5.2	      1
   5.1	    160	 105262	 102245	   -4.3	      1
   8.2	    125	 424406	 100753	   -1.6	      1
  14.6	    112	 2439536	 102280	   -2.8	      1
   5.8	    153	 151196	 102252	    1.3	      1
  10.0	     13	 748906	 101827	    5.9	      1
   6.7	    343	 220992	 101146	    7.6	      1
   5.2	     70	 106925	 100666	    1.9	      1
   7.1	    234	 278906	 102278	    4.6	      0
  19.4	    171	 2583422	 101564	    2.2	      1
   3.2	    195	      0	 100399	    6.3	      1
   2.1	    291	      0	 100782	   13.2	      1
   4.5	    172	  67912	 100397	   14.5	      1
  17.9	    102	 2492228	 102241	   14.2	      1
  15.8	    101	 2481535	 101979	   14.7	      1
   7.7	    295	 341161	 102287	   10.3	      1
   9.8	     16	 716714	 100389	    4.2	      1
   5.1	    189	  99904	 101542	    0.3	      1
   8.1	      1	 402176	 100927	    2.8	      1
  19.2	     10	 2479104	 100704	   11.4	      1
   4.6	    333	  77401	 102299	   -1.2	      1
  12.6	     51	 1522024	 100935	   -0.9	      1
   9.9	     45	 725003	 101933	    9.8	      1
  11.4	    305	 1105571	 101833	   10.6	      1
  10.3	     65	 828649	 101691	    4.4	      1
   6.5	     79	 207239	 100517	   -1.6	      1
   3.5	    195	      0	 101306	   10.2	      1
   3.7	    353	      0	 100741	    1.1	      1
   6.5	    135	 215001	 101006	   -0.8	      1
  12.3	    113	 1423865	 100872	    2.8	      1
  13.5	    358	 1905228	 100332	   -4.3	      1
  13.3	    204	 1752422	 101211	    8.1	      1
   5.6	    141	 132561	 101501	   13.3	      1
  19.6	    115	 2550307	 100471	    2.8	      1
   0.3	    306	      0	 101685	    8.2	      1
  17.4	     82	 2604350	 100414	   -3.1	      1
   0.7	    200	      0	 101199	    3.5	      1
  13.4	     84	 1801129	 102293	    7.3	      1
   6.7	    162	 230907	 100691	    1.8	      1
   4.8	     53	  86017	 100573	   -0.6	      1
  10.0	    271	 772204	 100408	   -2.6	      1
   5.8	    350	 149363	 101986	   -1.0	      1
   2.9	     99	      0	 100350	   12.4	      1
  12.6	    112	 1537454	 101007	   -2.3	      1
  18.1	    266	 2519926	 100982	    7.5	      1
   6.0	    157	 166536	 101599	    6.1	      1
   9.8	     89	 670471	 100311	   14.9	      1
   1.7	    162	      0	 100750	   11.1	      1
   6.9	     99	 248295	 101516	    4.1	      1
   6.9	     89	 249165	 102017	   11.4	      1
  14.2	     95	 2178718	 101371	    1.2	      1
   5.5	     52	 129950	 102134	    2.3	      1
   4.6	     32	  74861	 100332	    4.6	      1
   8.4	     49	 441394	 101625	   13.5	      1
  11.2	      7	 1081337	 102068	    1.8	      1
   3.2	    198	      0	 102085	    6.0	      1
  13.2	    263	 1724276	 102145	    7.4	      1
   2.8	     29	      0	 101071	   12.9	      1
  13.7	     43	 2039943	 101919	   -4.1	      1
  18.4	     67	 2541444	 100484	    3.8	      1
   7.0	    304	 248251	 100862	   13.1	      1
   2.7	     33	      0	 101095	    1.2	      1
   2.3	    129	      0	 101790	    9.6	      1
   6.4	    200	 202519	 101219	    3.4	      1
  12.6	     12	 1538405	 100376	   -0.1	      1
   5.0	    323	  93818	 102063	    7.6	      1
   7.7	    300	 341259	 101437	    4.8	      1
   8.5	    244	 469966	 100795	    4.8	      1
   4.5	    343	  66137	 101678	    8.8	      1
  12.7	     64	 1606425	 101657	   -1.2	      1
   2.0	     28	      0	 101931	    9.4	      1
   7.4	    312	 304995	 100929	    4.6	      1
  12.4	    306	 1443170	 102028	    7.5	      1
   4.0	     70	  50481	 100666	   -3.2	      1
  10.3	    104	 838203	 101109	    1.0	      1
   4.4	    116	  63174	 101778	   13.1	      1
   4.3	    354	  59019	 100733	    6.6	      1
   8.9	      6	 525998	 101889	   14.8	      1
   7.9	    105	 357056	 100767	   11.2	      1
  13.2	     57	 1741923	 102269	    8.8	      1
  20.1	    102	 2562629	 102193	    6.2	      1
   6.7	    142	 233906	 101330	    1.8	      1
  12.0	    213	 1286128	 102039	   12.4	      1
  12.6	    241	 1462675	 100566	   13.0	      1
   8.3	     13	 436798	 102270	    7.0	      1
   1.6	    201	      0	 102217	   -1.9	      1
  19.9	     50	 2506212	 101424	   10.3	      1
   0.9	    118	      0	 101381	    6.3	      1
  10.1	    185	 740151	 100357	   14.7	      1
   1.6	     92	      0	 102169	   14.8	      1
   1.5	    217	      0	 101227	    1.3	      1
   8.7	    166	 490770	 101229	    5.5	      1
   5.3	    316	 110902	 100997	   14.5	      1
  12.0	     49	 1287080	 101950	    7.9	      1
   6.4	    314	 197397	 101799	    8.1	      1
   5.5	    148	 124411	 101581	   10.1	      1
   2.6	     42	      0	 101513	   12.2	      1
   4.2	    342	  56768	 101112	    4.8	      1
   7.2	    296	 268953	 101348	   13.4	      1
   7.7	    349	 344937	 101153	    1.4	      1
   9.5	    172	 670969	 101380	   -4.3	      1
  17.7	    236	 2563414	 101849	    5.1	      1
  11.3	    218	 1061644	 100478	   10.2	      1
  16.7	     38	 2505994	 100353	    7.3	      1
   7.6	     52	 326891	 100934	   11.3	      1
  10.6	     12	 876270	 101601	    9.7	      1
   0.8	      5	      0	 100792	    5.4	      1
   8.6	     55	 472734	 102127	   14.6	      1
  15.1	    120	 2476633	 101061	   12.7	      1
   4.7	     99	  81122	 102291	   -2.5	      1
  14.9	    137	 2466543	 101841	   12.7	      1
  17.3	    322	 2651891	 101559	   -4.9	      1
   7.4	     82	 315141	 102012	    2.2	      1
   5.4	      3	 116004	 101437	    5.3	      1
  18.0	    199	 2606110	 101476	   -0.4	      1
   9.0	    310	 528465	 101052	   12.4	      1
  11.3	    174	 1069335	 100637	    8.2	      1
   3.2	     56	      0	 102043	   11.6	      1
  14.7	    338	 2481100	 102091	   -4.6	      1
   4.6	    119	  71820	 101159	    3.3	      1
  12.5	    313	 1467363	 101245	    9.2	      1
  13.3	     57	 1792677	 100446	   -0.2	      1
   8.8	     57	 526695	 101247	   -4.7	      1
   4.7	    211	  74483	 100444	    8.5	      1
   0.6	    147	      0	 102071	    6.3	      1
   9.1	     39	 558819	 100962	   13.0	      1
  19.9	     49	 2569809	 100810	    1.6	      1
   6.8	      1	 245865	 101321	   -4.8	      1
  16.6	     28	 2588754	 100311	   -1.7	      1
   7.0	    310	 260684	 102143	    6.1	      1
   0.9	    320	      0	 100528	    4.1	      1
   1.8	    300	      0	 101371	    8.9	      1
  11.6	    206	 1159901	 102221	   14.8	      1
   5.2	     56	 107476	 100912	   -2.7	      1
   6.7	    291	 227446	 101145	    5.5	      1
  15.8	    151	 2614491	 100811	   -3.1	      1
   8.5	    322	 463397	 100884	   -0.2	      1
  14.0	    163	 2121673	 101069	   -1.3	      1
  15.6	     77	 2566133	 100901	    2.3	      1
   3.8	     89	      0	 101916	    3.8	      1
   7.9	    166	 391847	 101768	   -3.2	      1
   0.9	    105	      0	 102172	    1.2	      1
   6.9	     21	 248279	 102117	   11.7	      1
   7.0	    307	 259184	 102152	   12.1	      1
   4.5	     53	  70094	 102015	   -0.3	      1
   5.4	    234	 119910	 100728	   -4.0	      1
   1.9	    349	      0	 101273	   13.9	      1
   6.1	    337	 176392	 101778	    3.3	      1
   5.4	    113	 114944	 101551	    8.4	      1
  12.8	    186	 1571222	 101333	    5.7	      1
   5.1	     34	  96409	 100337	    9.8	      1
   2.8	    108	      0	 100647	   -2.3	      1
  11.2	    259	 1057860	 102063	   10.9	      1
  17.0	    122	 2629067	 100896	   -4.3	      1
  15.0	     58	 2485872	 100525	   10.1	      1
   7.7	    203	 352194	 100725	   -1.0	      1
  13.8	    348	 1934054	 101238	   14.5	      1
   9.3	     26	 592925	 101098	    7.0	      1
  10.9	    226	 988234	 100715	    4.1	      1
   2.3	    116	      0	 101666	    2.5	      1
  11.7	    207	 1211149	 100683	    0.1	      1
   7.3	    140	 284948	 101059	   11.7	      1
   4.6	    142	  71903	 101042	   11.8	      1
   6.7	     76	 226033	 101126	   11.4	      1
   3.4	    173	      0	 101662	    6.3	      1
   6.4	    111	 196540	 102058	    3.7	      1
   5.8	    209	 150035	 101560	    5.5	      1
   4.0	    224	      0	 101073	   10.1	      1
  11.4	    253	 1108725	 101456	   11.4	      1
  20.2	    188	 2464765	 101165	   14.3	      1
