Vitess_Vent_[m/s]	 Dir_Vent_[deg]	 Pelec[w]	 Patm[Pa]	 Temp[degC]	 Statut
   4.6	    114	      0	 100534	   11.5	      1
   8.5	    100	 2151804	 100930	    9.8	      1
   7.8	    249	 1717812	 101824	   -4.4	      1
   1.0	      4	      0	 100789	    0.9	      1
   2.4	    298	      0	 102200	    2.5	      1
   1.4	    227	      0	 102261	    7.7	      1
  12.4	    108	 6976571	 102092	    0.3	      1
   2.4	     24	      0	 101214	    3.9	      1
   7.2	    354	 1294228	 102097	    9.0	      1
   9.2	     23	 2766159	 102041	    9.8	      1
   9.0	    169	 2689920	 102093	   -4.8	      1
   8.0	    223	 1917868	 102024	   -4.8	      1
  12.3	     62	 6791669	 101021	   -5.0	      1
   8.7	    126	 2311499	 101393	    7.0	      1
   9.4	    113	 2986509	 101374	    3.6	      1
  17.5	     45	 12066529	 100655	    0.7	      1
  14.2	    295	 9938158	 100690	    7.8	      1
   9.6	    293	 3113443	 100789	    6.3	      1
  22.6	     26	 12320050	 101369	   -3.0	      1
   0.5	     43	      0	 101879	    0.3	      1
   4.2	     69	      0	 102060	    6.2	      1
  13.7	    203	 9489948	 102168	   -0.9	      1
  11.2	     77	 5054842	 100814	   -3.6	      1
   5.4	    257	 563912	 102022	    8.3	      1
   7.3	    350	 1371631	 100373	   -1.2	      1
   6.8	      1	 1118196	 101087	   -2.1	      1
   6.3	    296	 920602	 101878	   -5.0	      1
   3.9	     70	      0	 102094	   -3.9	      1
  17.2	    131	 12268284	 101492	   -1.5	      0
   7.8	     85	 1714470	 101556	   -1.4	      1
  11.7	    149	 5475355	 101055	   13.4	      1
  24.6	    113	 12260174	 100659	   -3.6	      1
  14.3	    120	 10872338	 101782	   -4.8	      1
   4.1	    117	      0	 101854	   -1.2	      1
   9.0	     96	 2572293	 101409	    2.7	      1
  14.5	     89	 11041577	 101995	   -0.2	      1
  12.1	     83	 6239752	 101409	    7.6	      1
  13.8	     13	 9358161	 101878	    8.0	      1
  14.7	    301	 10876716	 100820	   11.4	      1
  14.0	     54	 9469209	 101738	   13.8	      1
  10.1	      0	 3575510	 101345	   10.4	      1
  10.1	    236	 3543114	 101667	   14.1	      1
  10.4	    141	 4109294	 101248	   -2.9	      1
   9.9	    292	 3386749	 101599	    8.9	      1
   8.1	    349	 1836749	 101327	    9.5	      1
   5.7	     57	 649791	 101698	    7.8	      1
  12.6	    123	 7060515	 101517	    4.2	      1
  11.6	    340	 5381491	 100452	    9.5	      1
   4.1	    308	      0	 102008	   12.1	      1
   9.3	    278	 2776093	 101130	   10.0	      1
  17.9	    348	 11695770	 100796	    9.8	      1
   4.7	     59	      0	 100623	   14.8	      1
  17.7	    208	 12435036	 101883	   -4.1	      1
   6.6	    294	 1052012	 101315	   -4.6	      1
   5.8	     49	 696448	 100839	   -1.2	      1
  18.8	     90	 11796359	 100906	    7.7	      1
   1.5	    350	      0	 102049	   10.2	      1
   9.3	     81	 2752353	 101107	   10.5	      1
   6.2	    216	 856586	 102064	    9.8	      1
  13.8	     77	 8975764	 100831	   14.2	      1
   8.4	    280	 2068671	 101196	    6.8	      1
   9.1	     83	 2688140	 100794	    0.3	      1
   2.6	     18	      0	 100421	   13.3	      1
   5.0	    236	 440235	 100864	    7.1	      1
   8.8	    234	 2393460	 102216	   13.9	      1
   6.9	     64	 1106190	 100963	   14.8	      1
  19.9	    152	 11945736	 101962	    7.1	      1
   3.0	    328	      0	 100737	    7.5	      1
   7.3	    349	 1433603	 101399	   -3.1	      1
   6.7	    126	 1065623	 101584	    7.5	      1
   5.5	     56	 568652	 100713	    6.8	      1
   4.1	    282	      0	 102072	   -3.7	      1
   5.3	    211	 528199	 100984	    9.1	      1
  19.6	     12	 11658270	 101917	   13.9	      1
   9.8	     59	 3228733	 100379	   12.9	      1
  10.5	    349	 4046116	 101596	    7.1	      1
   8.2	    160	 1960170	 100395	    3.6	      1
  14.2	     23	 10308669	 102060	    1.6	      1
   4.9	    343	      0	 100366	   15.0	      1
   4.2	     11	      0	 100485	   -1.2	      1
   8.0	    303	 1893632	 101629	   -2.0	      1
   6.6	    117	 973606	 101645	   13.0	      1
   0.3	    135	      0	 102256	   13.2	      1
   6.4	    206	 899440	 100418	   12.2	      1
  10.6	    112	 4285696	 101529	    4.9	      1
   5.0	    101	      0	 101390	    9.8	      1
  14.8	    353	 11604672	 100876	    1.5	      1
   2.3	      9	      0	 100337	   -3.8	      1
  19.5	    352	 12121806	 101481	    1.7	      1
  13.6	    340	 8672110	 100508	   11.7	      1
  11.5	    119	 5421649	 101167	    5.5	      1
