Vitess_Vent_[m/s]	 Dir_Vent_[deg]	 Pelec[w]	 Patm[Pa]	 Temp[degC]	 Statut
  17.8	    168	 3688635	 102189	   -4.5	      1
   4.2	    152	      0	 102280	   13.3	      1
  13.8	    208	 3449085	 102211	   14.2	      1
   6.2	    310	 378476	 101137	    6.4	      1
   5.9	    173	 325355	 101553	    9.4	      1
   7.3	    337	 617428	 101698	    6.0	      0
   5.3	      7	 225525	 100996	   15.0	      1
   8.4	    155	 987047	 102146	    0.5	      1
  13.9	     99	 3471173	 102154	   12.3	      1
  10.8	     36	 1994145	 101534	   12.8	      1
   8.0	    332	 848588	 101574	   -3.8	      1
  11.1	    312	 2204103	 101846	    6.4	      1
  16.0	     34	 3447294	 102218	   14.4	      1
   5.9	    315	 349149	 101612	   -3.2	      1
   7.7	    149	 769300	 102269	   -3.8	      1
   7.1	    190	 557122	 101152	   10.1	      1
   1.6	      4	      0	 101154	   14.3	      1
   6.9	     67	 520419	 100678	   10.7	      1
  12.1	    197	 2864057	 100842	    1.3	      1
  11.8	    139	 2590263	 101557	   12.6	      1
  15.2	    111	 3421381	 101300	   14.0	      1
  11.4	    196	 2468083	 101775	   -4.6	      1
  16.1	    306	 3563069	 102042	    4.6	      1
   7.8	     93	 779420	 102215	    6.4	      1
   2.8	    350	      0	 100772	   -4.3	      1
  24.1	     73	 3558477	 100691	    1.3	      1
   8.9	    163	 1106919	 101110	    8.6	      1
   0.4	    198	      0	 101422	    7.6	      1
   1.5	     89	      0	 101673	    9.0	      1
   5.6	     47	 276230	 100343	   11.2	      1
   5.7	    192	 298120	 101811	    5.5	      1
  11.8	    282	 2614787	 101864	    6.1	      1
   6.6	    203	 477542	 100546	   -1.6	      1
   2.4	    209	      0	 101294	    0.5	      1
  15.0	    166	 3488284	 101242	    8.3	      1
   2.2	    171	      0	 101939	    7.2	      1
   2.0	     82	      0	 100986	   13.8	      1
   3.8	     12	      0	 101422	    2.3	      1
  17.4	    112	 3570033	 100990	    1.2	      1
   4.5	    120	      0	 100782	   13.2	      1
  19.2	    124	 3422688	 100700	   12.2	      1
   9.5	    199	 1359516	 101153	    9.3	      1
  10.3	     75	 1794512	 101773	    3.9	      1
   3.2	    211	      0	 102249	    6.7	      1
   2.0	    220	      0	 100405	   14.0	      1
   9.7	      9	 1432260	 102204	   10.7	      1
   8.0	    129	 808288	 100650	    8.1	      1
   7.3	     21	 635339	 101620	    0.5	      1
   4.1	     15	      0	 102267	   -4.4	      1
  12.9	    318	 3450882	 100933	    5.1	      1
  10.9	    337	 2037232	 101653	   10.0	      1
  12.9	    338	 3532231	 100603	   -3.6	      1
   5.0	    167	 202527	 100446	    5.1	      1
   1.4	    350	      0	 100701	    2.7	      1
  10.8	     57	 2102260	 101454	   -3.4	      1
   8.0	    106	 802280	 101603	    7.8	      1
   5.7	    116	 302593	 101750	    1.7	      1
  20.0	    312	 3491493	 102010	   10.2	      1
   7.6	    298	 720008	 101642	   -3.9	      1
   5.2	     57	 223650	 100955	    0.5	      1
   3.3	    331	      0	 100336	    4.4	      1
   4.4	    154	      0	 102297	   -1.3	      1
  16.3	    191	 3588916	 100549	   -1.4	      1
   8.2	     51	 917368	 102136	   -2.3	      1
   4.5	    180	      0	 100875	    4.0	      1
  20.0	     36	 3561939	 102037	    4.7	      1
   3.1	      8	      0	 100367	   -1.8	      1
  17.5	      5	 3688142	 102062	   -4.8	      1
  10.7	      3	 2039036	 102239	   -4.0	      1
   7.3	    171	 607328	 101454	   13.9	      1
   9.5	    331	 1379879	 101710	    4.9	      1
   5.3	    297	 242459	 100996	   -2.4	      1
   1.1	    348	      0	 100564	    3.4	      1
   7.6	    333	 689040	 100879	    5.1	      1
  15.7	    297	 3478917	 102214	   11.8	      1
   3.1	    319	      0	 101529	   14.7	      1
   9.0	    223	 1178808	 101285	    6.3	      1
   3.3	    125	      0	 101962	    9.1	      1
   8.8	    170	 1133015	 100791	   -1.2	      1
   8.9	    151	 1106858	 101805	    8.8	      1
  16.5	     38	 3603729	 102068	    1.5	      1
   7.1	    353	 583085	 100712	   -3.6	      1
  17.1	    288	 3579232	 100415	   -1.1	      1
   1.7	    359	      0	 101701	   10.3	      1
  13.2	     81	 3602107	 102230	    2.1	      1
   2.9	    288	      0	 100476	   12.2	      1
