Vitess_Vent_[m/s]	 Dir_Vent_[deg]	 Pelec[w]	 Patm[Pa]	 Temp[degC]	 Statut
   7.3	    270	 508766	 102204	   -1.3	      1
  18.8	    288	 5135909	 101666	    5.2	      1
   9.0	     74	 908239	 101564	    8.7	      1
  17.9	     30	 5241879	 102107	    0.8	      1
   5.0	     86	 153595	 100410	    9.0	      1
  10.8	     91	 1558168	 101650	    9.5	      1
  10.1	    130	 1317855	 102145	    1.9	      1
  17.2	    197	 4992938	 102016	   14.2	      1
  10.4	    344	 1429417	 101497	   -0.5	      1
   3.9	    348	  76144	 100438	   -2.2	      1
   8.4	    296	 721350	 100892	   10.7	      1
   7.4	    119	 533030	 102222	   -1.1	      1
   7.7	    175	 584943	 100515	    1.4	      1
   7.0	      3	 431411	 102030	    2.5	      1
   7.8	     32	 595047	 101437	    5.4	      1
   6.6	    220	 372483	 102258	   -3.4	      1
   5.8	     12	 237153	 102278	    9.9	      1
   2.2	     27	      0	 100993	    6.5	      1
   7.6	     58	 540836	 102274	    6.4	      1
   7.0	    174	 412820	 101200	   11.3	      1
   5.2	     99	 177942	 102211	    3.3	      1
   9.7	     56	 1129532	 101797	   13.1	      1
   6.0	    128	 256464	 102009	   14.7	      1
  13.0	    301	 2745780	 101198	    5.7	      1
   2.2	    124	      0	 101033	    4.9	      1
  10.9	     36	 1594966	 100385	    7.6	      1
   6.0	      0	 274306	 102168	    3.0	      1
  12.1	    118	 2224005	 100373	    3.3	      1
  13.1	    227	 2799224	 101782	    8.9	      1
   9.3	    202	 1032631	 101335	    0.9	      1
  17.5	    145	 5228432	 100775	   -2.1	      1
  19.7	    168	 4996176	 100316	    9.2	      1
   6.7	    342	 383959	 101008	    2.7	      1
  11.5	    121	 1825877	 101128	   14.0	      1
   5.4	     64	 203659	 101414	    1.7	      1
   6.1	    348	 285601	 100826	    6.3	      1
   7.2	     67	 455711	 101957	    9.3	      1
  25.7	     30	      0	 100684	    6.6	      1
   9.2	    350	 986131	 100455	   -0.3	      1
   6.2	    168	 309627	 102268	    3.3	      1
   2.3	    313	      0	 101019	   12.3	      1
   5.6	    134	 218055	 101183	   10.5	      1
  10.5	    306	 1445438	 102105	    6.0	      1
   2.5	     11	      0	 101485	    5.8	      1
  14.5	    161	 3932222	 102233	   -2.8	      1
   3.0	    200	  35379	 100759	   -1.2	      1
   8.8	    298	 816938	 101725	   14.9	      1
   5.8	    197	 247502	 101538	    3.1	      1
   2.0	     79	      0	 100374	   10.4	      1
  10.9	    136	 1667288	 102011	   -2.3	      1
   4.5	     25	 115280	 101919	    8.3	      1
  12.9	    202	 2759661	 101975	   -0.9	      1
   3.4	     67	  45671	 101585	   14.9	      1
   5.0	    290	 164242	 101619	   -0.9	      1
  13.3	     13	 2904171	 101081	    6.4	      1
   8.8	    180	 857446	 101829	    3.4	      1
   3.8	    290	  72105	 101824	    3.2	      1
  18.7	    301	 5223816	 101152	   -0.8	      1
  15.0	    310	 4419029	 102224	   -3.4	      1
  11.1	    111	 1725758	 100361	    0.0	      1
  14.8	     13	 3982658	 101541	    9.4	      1
  10.8	    170	 1564575	 102093	    5.4	      1
  13.1	    341	 2948427	 102247	   -3.8	      1
   4.0	     91	  76492	 101063	   13.7	      1
   7.1	    160	 445686	 101797	    3.6	      1
   6.6	     80	 369304	 100879	   -2.6	      1
   6.9	    309	 417168	 102294	    7.8	      1
   5.6	    178	 220182	 101966	   10.2	      1
  11.6	    203	 1911771	 101195	    9.0	      1
   4.8	    302	 140033	 101945	   -2.5	      1
  13.5	     34	 3083308	 101585	    5.0	      1
   7.7	    356	 559984	 100941	    9.8	      1
   7.0	    169	 441133	 100879	   -0.8	      1
   5.8	    315	 240215	 102112	    6.4	      1
   4.4	    124	 107429	 102138	   -0.4	      1
  11.7	     84	 1945161	 101467	   10.3	      1
   6.0	    195	 273055	 102226	   10.9	      1
  10.9	    144	 1641370	 100792	    3.5	      1
   6.4	    213	 326269	 101313	    0.9	      1
   1.9	    334	      0	 100917	    8.6	      1
  10.6	    183	 1472513	 101028	    4.7	      1
  13.3	    144	 2840274	 101333	   14.6	      1
   6.7	    347	 389162	 101723	   -1.0	      1
  10.6	     96	 1507426	 101339	    3.9	      1
