Vitess_Vent_[m/s]	 Dir_Vent_[deg]	 Pelec[w]	 Patm[Pa]	 Temp[degC]	 Statut
   7.2	    194	 708578	 101116	    5.6	      1
  10.4	    140	 2154112	 101389	    8.9	      1
   4.1	     55	      0	 100423	    4.1	      1
   3.2	    250	      0	 102245	    0.3	      1
  11.4	    169	 2893929	 101445	    5.1	      1
   6.2	    112	 462225	 101129	    2.7	      1
   6.6	     71	 533713	 100744	   11.5	      1
  11.8	    293	 3222959	 101812	   -0.1	      1
   5.5	    270	 329912	 101404	    3.2	      1
   3.7	    324	      0	 100741	   -1.5	      1
   7.5	    115	 819381	 101545	    7.9	      1
   5.3	     63	 296923	 100635	   -2.0	      1
  10.2	    114	 1970340	 101127	   11.0	      1
   8.8	    313	 1322357	 101078	   -0.5	      1
   9.3	     67	 1615676	 101601	   -1.3	      1
  10.6	    196	 2378151	 100469	   -4.5	      1
   6.4	    236	 494216	 100814	   11.5	      1
   1.8	    357	      0	 101230	   13.1	      1
   4.7	     56	      0	 100819	   10.4	      1
  24.6	    239	 6314213	 100493	   11.0	      1
   6.8	     97	 580420	 101232	   11.0	      1
  11.2	     71	 2798773	 101648	   -3.0	      1
   4.8	    178	      0	 100693	    1.1	      1
   9.0	     43	 1369774	 100425	   11.7	      1
  10.6	    102	 2217456	 100966	   11.1	      1
   4.1	    318	      0	 101246	   -0.1	      1
   5.4	     57	 304891	 101861	    3.2	      1
  11.8	    128	 3172210	 100863	    2.4	      1
   3.6	    309	      0	 101573	    0.1	      1
  17.7	    299	 6492537	 101567	    6.1	      1
  21.3	    329	 6644325	 100523	   -3.0	      1
   3.5	    145	      0	 101753	    7.9	      1
   5.4	    171	 315592	 102188	    3.4	      1
   8.4	     18	 1118505	 100698	   13.9	      1
  17.2	    172	 6492390	 100477	    3.1	      1
   8.4	    184	 1118562	 101185	   12.3	      1
  15.6	    194	 6402778	 102135	   11.6	      1
   8.0	      5	 989394	 102241	    7.4	      1
