Vitess_Vent_[m/s]	 Dir_Vent_[deg]	 Pelec[w]	 Patm[Pa]	 Temp[degC]	 Statut
   6.9	     70	 629672	 100776	   -1.9	      1
  13.0	     24	 4317742	 101483	   -4.4	      1
  13.5	    185	 4772148	 101961	    0.9	      1
   8.1	    346	 1007335	 101511	    3.9	      1
  11.3	     49	 2825781	 102195	   -1.7	      1
   3.2	    356	      0	 100708	   -1.0	      1
   8.9	    165	 1318043	 101041	    3.4	      1
   8.3	     68	 1057489	 100848	    5.9	      1
   2.2	    279	      0	 101028	   -4.3	      1
   5.1	    206	 246835	 100684	    6.0	      1
   2.9	    315	      0	 100324	    3.6	      1
  15.4	    120	 6609139	 101865	   -4.2	      1
   4.5	    267	 177260	 100782	   -1.9	      1
   9.3	    299	 1511935	 100970	    1.4	      1
  13.5	    196	 4772777	 101840	   -3.4	      0
   8.4	     32	 1146726	 101127	   -4.1	      1
   4.8	     67	 196275	 101186	   13.7	      1
   8.0	     82	 964863	 101441	    4.6	      1
   6.4	    108	 488274	 101755	    9.1	      1
   5.5	     56	 318936	 100639	    0.4	      1
  15.6	    162	 6339591	 100771	    4.3	      1
   8.4	    292	 1093111	 100584	    6.1	      1
   8.7	     12	 1224915	 102173	   14.1	      1
   0.6	    131	      0	 101353	    2.3	      1
   9.3	     25	 1535494	 100657	    3.8	      1
   1.3	    237	      0	 102196	    7.9	      1
  18.2	    265	 6583724	 101546	   -4.0	      1
  15.0	    183	 6201254	 101437	   12.3	      1
   4.3	    147	 151284	 101222	    5.9	      1
  13.9	     39	 4971502	 101284	    7.8	      1
   8.4	     37	 1122168	 100690	    4.1	      1
   4.4	    108	 157531	 102028	   13.6	      1
   2.4	    327	      0	 102074	   11.7	      1
   1.4	     54	      0	 101657	   -3.2	      1
  12.8	     58	 4024631	 100569	   -0.5	      1
   9.2	     95	 1455753	 101484	   12.0	      1
   4.3	    160	 151281	 101635	    5.4	      1
   5.9	    114	 398251	 100833	    0.7	      1
   9.0	    289	 1364244	 101199	    9.9	      1
  11.0	    218	 2490502	 100385	    1.5	      1
   4.1	    359	 136684	 100347	   -4.7	      1
   7.8	     61	 892685	 101719	    2.8	      1
  13.9	    156	 4914103	 100511	   12.3	      1
   8.7	    293	 1302285	 101961	   -2.4	      1
   7.5	    193	 779554	 101923	    8.8	      1
  16.6	     28	 6452288	 101773	    2.1	      1
   6.5	    133	 528659	 101632	    5.8	      1
   8.0	    280	 964426	 100476	   -2.2	      1
   4.9	    200	 220719	 100347	    8.1	      1
  13.9	    348	 5104999	 101067	   -0.5	      1
   8.1	    103	 992335	 100918	    7.8	      1
   6.4	    310	 492457	 100363	    5.1	      1
  13.2	    179	 4250413	 100600	    7.6	      1
   7.3	    148	 736019	 101748	    8.1	      1
   2.2	    156	      0	 101055	   -0.7	      1
  13.7	    354	 4704071	 101326	   14.2	      1
   8.5	     55	 1170265	 101169	    3.0	      1
  11.7	    154	 3051734	 100420	   -3.4	      1
   4.1	     38	 131445	 101015	   -1.0	      1
  19.2	    179	 6164240	 100558	   11.6	      1
   5.4	    176	 290507	 101168	    6.6	      1
   7.8	     30	 905367	 101860	    2.7	      1
  15.5	    187	 6433897	 102010	    3.6	      1
   1.5	    302	      0	 102082	    5.4	      1
   6.2	    228	 446952	 101061	    8.4	      1
  17.8	     11	 6584299	 101688	   -3.6	      1
  12.3	     25	 3476489	 102001	    9.5	      1
   6.9	     61	 623065	 101806	    1.4	      1
   1.4	    102	      0	 101678	   -1.2	      1
   5.5	     85	 328131	 101936	   -4.5	      1
  11.9	    132	 3086845	 101446	   12.8	      1
   9.3	    102	 1491972	 101788	   13.2	      1
  13.1	    273	 4361937	 101764	   -1.6	      1
   0.9	     58	      0	 101921	    4.3	      1
   8.6	     45	 1212861	 101939	    6.9	      1
   2.0	    355	      0	 100439	   -4.1	      1
  18.1	     57	 6454315	 100655	   -1.0	      1
  10.7	    179	 2270682	 100679	    4.8	      1
   9.0	    359	 1376246	 100973	    6.0	      1
   2.9	    210	      0	 100594	    0.8	      1
  15.4	    146	 6448750	 100813	   -0.3	      1
  10.7	    108	 2357600	 101433	   -0.5	      1
   4.8	    172	 206451	 100382	    6.1	      1
  18.9	    292	 6572713	 101692	   -3.1	      1
   2.1	    312	      0	 101814	    5.2	      1
  19.4	    166	 6212249	 100759	    9.9	      1
   9.4	    201	 1545892	 100983	    5.8	      1
  14.9	    110	 6476616	 102258	   -3.7	      1
  11.8	    101	 2961230	 100485	   12.3	      1
   6.1	     80	 435860	 100604	    2.6	      1
   3.0	    316	      0	 100330	    3.8	      1
  20.2	     10	 6128209	 100640	   13.5	      1
   3.7	    254	      0	 101677	    2.7	      1
   5.6	    151	 343025	 102114	   -1.8	      1
  17.2	    128	 6381901	 101022	    3.1	      1
   1.8	    197	      0	 100471	    4.3	      1
   7.3	     93	 706084	 100737	    8.6	      1
   4.0	    311	 122734	 101099	    2.9	      1
   9.5	    307	 1628320	 101871	    2.0	      1
   8.4	    290	 1163522	 100927	   -4.2	      1
  13.2	    314	 4203882	 100936	   11.8	      1
