Vitess_Vent_[m/s]	 Dir_Vent_[deg]	 Pelec[w]	 Patm[Pa]	 Temp[degC]	 Statut
   5.3	     64	  46259	 102005	   13.7	      1
   4.9	    164	  37953	 101822	    0.5	      1
   6.2	    206	  73464	 100451	   14.1	      1
  10.8	    341	 416898	 102204	   -2.8	      1
  13.0	     59	 684562	 102067	   11.9	      1
   6.1	    131	  69017	 101955	   13.8	      1
  19.9	     91	 1045196	 101419	   12.3	      1
   9.2	    104	 255303	 100531	   -1.7	      1
   6.7	    195	  96922	 102173	    0.5	      1
   3.0	    132	      0	 100828	   -1.0	      1
   4.4	    312	  27508	 102050	   -4.5	      1
   9.4	    100	 260542	 101553	    4.9	      1
   2.0	    136	      0	 101565	    1.4	      1
   9.0	    193	 236676	 101390	   -2.8	      1
   8.3	    310	 185517	 100944	   -3.9	      1
   8.8	     13	 211864	 100595	   10.3	      1
   5.2	    136	  46887	 101631	   -2.1	      1
   7.0	    191	 110677	 101399	    6.2	      1
   9.3	    243	 259731	 101021	    3.6	      1
   6.2	    135	  78017	 102248	   -2.9	      1
   9.1	    179	 244236	 101017	   -4.1	      1
   6.5	     29	  88141	 101404	    6.8	      1
   7.3	    341	 122879	 100898	    9.1	      1
   7.2	     72	 118426	 102065	   12.5	      1
   8.0	    292	 163741	 102096	    9.6	      1
  18.2	     22	 1085075	 101460	    1.9	      1
   4.4	    143	  26159	 101701	   11.3	      1
   3.3	     51	      0	 101655	    1.0	      1
   7.3	     15	 124539	 100380	   -4.6	      1
  13.1	    196	 715659	 100763	    1.3	      1
   2.0	     55	      0	 101889	   -0.1	      1
   4.9	    241	  38926	 100489	   -4.6	      1
  10.1	    112	 339294	 101950	   -4.7	      1
   5.7	    117	  61146	 101239	    0.7	      1
  15.8	    119	 1100457	 100961	   -3.3	      1
   9.1	    332	 243840	 101808	   -1.4	      1
   5.6	    144	  57424	 101699	   -0.1	      1
   8.7	     75	 211959	 102001	    6.3	      1
  21.9	    130	 1047895	 100637	    9.3	      1
  11.6	      5	 512818	 100768	   -2.8	      1
  11.9	    189	 517936	 101462	   11.6	      1
   3.6	     64	      0	 101312	    7.3	      1
  24.8	    173	 1038412	 100598	   11.8	      1
   7.3	    110	 122836	 100356	    7.7	      1
  10.2	    356	 342461	 100881	   -3.5	      1
   7.3	     87	 125216	 101566	    6.5	      1
  13.9	    322	 879216	 101040	   -2.9	      1
   7.4	     77	 123904	 101637	   14.1	      1
  14.8	    235	 1000535	 101483	   12.5	      1
  12.0	     83	 561459	 101947	    3.3	      1
   2.7	     44	      0	 101886	   -3.7	      1
  20.2	    356	 1097260	 101234	   -1.8	      0
   4.9	    307	  36325	 100572	   13.8	      1
  10.9	     62	 412006	 101830	    3.8	      1
   5.5	    189	  52267	 100976	   13.0	      1
   8.8	    100	 218153	 101358	    6.3	      1
   2.6	    173	      0	 101128	   -1.7	      1
   8.2	     13	 174978	 100896	    4.6	      1
   2.9	    344	      0	 101033	   11.2	      1
   6.5	    120	  86977	 100309	    9.0	      1
  12.5	    120	 616314	 101859	    4.9	      1
  10.5	    180	 369661	 100576	    2.6	      1
   2.9	    308	      0	 101504	    0.9	      1
   2.8	     17	      0	 101389	    2.4	      1
   6.7	    243	  91968	 101169	   13.8	      1
   6.8	    317	 100317	 100590	    2.2	      1
   6.9	    348	 105918	 101262	   -1.0	      1
  10.1	    132	 327890	 100712	    1.9	      1
   9.2	    103	 250740	 100503	   -4.6	      1
  14.9	    180	 1070380	 100471	   -2.5	      1
   4.1	     52	  22184	 101743	    2.2	      1
  22.8	     58	 1059175	 101285	    8.1	      1
   8.4	     32	 194121	 100924	   -1.3	      1
   5.5	     76	  52466	 101975	    9.2	      1
   0.7	    225	      0	 100635	    4.2	      1
  10.0	    166	 318437	 101023	    2.1	      1
   5.4	    240	  50274	 101992	    6.8	      1
  16.3	    114	 1052206	 101250	    9.9	      1
   9.5	    106	 268676	 100748	    5.1	      1
   4.1	    185	  21850	 101588	    3.5	      1
   9.9	    165	 311745	 100749	    1.7	      1
  10.2	     64	 331534	 102285	   14.4	      1
   8.1	    245	 165975	 101422	    6.1	      1
  11.4	    137	 464890	 101410	   12.1	      1
   8.5	    102	 202833	 101505	   -1.3	      1
  15.2	     69	 1093743	 102121	    1.5	      1
  18.6	    149	 1093863	 100808	   -2.1	      1
  11.9	    146	 521419	 100755	    9.9	      1
  12.4	     45	 612043	 101492	    0.5	      1
   5.8	     60	  59673	 101117	   14.5	      1
  10.6	    360	 365149	 100338	    8.6	      1
   9.0	    314	 225999	 102096	   11.8	      1
  15.0	    213	 1092838	 101406	   -1.2	      1
  10.5	    128	 368305	 101621	    7.4	      1
   9.6	    241	 288322	 101558	   -1.9	      1
  11.1	     34	 412855	 100447	   14.2	      1
   3.7	    154	      0	 100927	    6.7	      1
  11.2	    332	 450706	 100333	   -2.1	      1
  10.9	     38	 410585	 102180	    8.6	      1
   4.6	     73	  29426	 101245	   13.1	      1
   3.1	    176	      0	 100342	    4.9	      1
   3.4	    191	      0	 100546	   10.2	      1
   6.0	    208	  70200	 101256	    0.9	      1
  14.2	    168	 921305	 100482	   -0.3	      1
   4.5	    167	  28169	 101303	   13.7	      1
   9.9	    324	 303764	 100629	    6.4	      1
   9.0	    205	 236756	 101612	    1.1	      1
   0.3	    211	      0	 101245	   -0.4	      1
   8.0	    211	 159907	 100580	   12.0	      1
