Vitess_Vent_[m/s]	 Dir_Vent_[deg]	 Pelec[w]	 Patm[Pa]	 Temp[degC]	 Statut
  13.5	    278	 2539177	 100520	   13.5	      1
   1.3	    237	      0	 101346	    3.1	      1
  12.2	    168	 1941600	 102182	    7.9	      1
  16.9	    301	 3646543	 101739	    1.7	      1
   0.9	     79	      0	 100987	   11.1	      1
  15.4	    116	 3589192	 101457	    5.3	      1
   1.8	     10	      0	 100980	    7.3	      1
   6.8	     36	 324796	 101629	   12.0	      1
   4.9	    309	 122850	 100485	   10.6	      1
   4.1	    310	  73435	 101403	    5.2	      1
   4.3	    324	  83366	 101560	    5.3	      1
   9.1	    199	 819540	 101823	    4.6	      1
   2.2	     90	      0	 101823	    2.7	      1
   9.0	    274	 767560	 100745	    2.6	      1
   9.1	    256	 775481	 100628	    8.1	      1
  13.0	    359	 2313830	 101077	    4.1	      1
   4.7	    186	 106437	 101003	    9.8	      1
  12.3	    124	 1966400	 101019	    8.6	      1
  10.0	    290	 1016963	 100382	   12.9	      1
   4.1	     50	  72048	 100897	   13.8	      1
  12.7	    306	 2283437	 102205	   -4.8	      1
  12.8	    180	 2310428	 101626	   -4.4	      1
   3.2	    289	      0	 100846	   -4.0	      1
   5.9	     45	 220493	 101969	   -0.6	      1
  15.9	    119	 3660898	 100789	   -2.0	      1
   5.7	     41	 201816	 101575	   -0.5	      1
  10.2	    263	 1107084	 102011	   12.2	      1
  10.9	    149	 1367667	 100417	    4.6	      1
   6.6	    293	 311468	 101366	   -3.7	      1
  13.9	    202	 2896337	 101983	    4.7	      1
  19.6	    100	 3750463	 102162	   -4.8	      1
   9.8	     71	 1010284	 100367	   -2.5	      1
   8.1	    345	 588246	 100647	   -4.4	      1
   8.4	    334	 634479	 101128	    7.4	      1
   2.0	     27	      0	 101661	    8.9	      1
  14.1	    350	 2992874	 101139	    1.0	      1
   9.5	     25	 952559	 101693	   -2.8	      1
  11.6	    136	 1665569	 102270	    3.8	      1
   5.0	     22	 135041	 101654	   -0.2	      1
  15.0	    179	 3514336	 101848	   12.3	      0
   9.2	    247	 837803	 101810	    1.9	      1
   6.5	    244	 278950	 100434	   12.0	      1
  15.3	    176	 3603358	 100301	    1.0	      1
  14.7	      5	 3379723	 101868	    3.9	      1
   2.6	    180	      0	 101016	   -4.1	      1
   4.4	      2	  90036	 101767	    3.1	      1
  13.7	    150	 2663936	 101834	   12.3	      1
   5.0	    121	 137762	 101737	    1.2	      1
  17.0	    250	 3495283	 101525	   13.0	      1
   5.8	     57	 203397	 101565	    8.2	      1
   6.6	    258	 318875	 101816	   -0.2	      1
   5.9	     70	 215222	 101655	   10.3	      1
   8.7	    141	 701572	 100437	    2.7	      1
   8.0	    146	 540614	 100432	    7.5	      1
  12.9	    340	 2188194	 100408	   14.7	      1
   7.8	    311	 518076	 101009	   -3.2	      1
   2.0	      4	      0	 101929	    8.4	      1
   9.4	    142	 863167	 101594	   13.6	      1
   5.4	    174	 169260	 101079	   -5.0	      0
  14.4	    251	 3232272	 102297	    0.6	      1
  20.6	    150	 3690515	 101296	   -2.8	      1
   6.8	     69	 334643	 101685	    2.3	      1
   9.8	    268	 978350	 100751	    6.1	      1
  14.1	     25	 2889427	 100601	   11.4	      1
  10.1	    118	 1093245	 100843	    2.9	      1
  14.6	      5	 3422608	 102150	   -4.5	      1
   5.6	     97	 187279	 101505	    1.1	      1
  25.2	     63	      0	 101984	   -2.2	      1
   3.2	    274	      0	 101396	    9.1	      1
  22.2	    151	 3539316	 101750	   10.0	      1
  12.0	     37	 1807828	 100843	    9.9	      1
   4.6	    133	  99316	 101885	   11.8	      1
  14.0	      6	 2831799	 100753	   10.6	      1
   5.7	    322	 194673	 100321	    5.0	      1
   5.7	     46	 196856	 101187	   -1.0	      1
   4.8	    208	 114024	 100698	    8.8	      1
  14.0	    306	 2981590	 101495	   -2.2	      1
   3.6	    160	      0	 100347	   10.2	      1
   7.6	    199	 461480	 102205	    7.7	      1
   6.1	    359	 228376	 100925	   14.3	      1
  10.1	    312	 1091008	 100610	    0.1	      1
   4.5	     56	 100116	 101094	   -1.0	      1
  11.9	     68	 1809036	 101649	    5.8	      0
   7.5	    198	 464020	 100781	   -2.3	      1
  15.5	     99	 3638038	 101002	    0.3	      1
  11.9	    285	 1811665	 101803	    2.5	      1
   7.7	     92	 478208	 101464	    4.2	      1
   3.7	    314	      0	 100957	   14.4	      1
   9.4	    119	 876126	 101975	    6.9	      1
   6.9	    320	 347399	 101775	    7.3	      1
   9.1	     62	 804670	 102163	    9.2	      1
   7.1	     21	 369378	 100867	   11.5	      1
  14.6	    331	 3373110	 102108	    3.2	      1
   3.2	     90	      0	 101263	   12.5	      1
  12.4	    160	 1975894	 101736	   13.5	      1
   5.7	    117	 193766	 101438	    7.0	      1
   8.1	    206	 546365	 101340	   13.3	      1
